Title,Company,Description,Size,URL
"Software Engineer, Growth",Notion,"About UsWe're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.We've been working on this together since 2016, and have customers like Pixar, Mitsubishi, Figma, Plaid, Match Group, and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.Notion is an in-person company, and currently requires its employees to come to the office for two Anchor Days (Mondays & Thursdays) and requests that employees spend the majority of their week in the office (including a third day).About The RoleNotion's Growth Engineers make our mission of software ubiquity a reality. Using experiments, creativity, and feature creation, this team accelerates the value of Notion to an ever growing audience of users. We are owners of the ins and outs of our business, using a blend of data, qualitative research, and product intuition to accelerate our impact at this critical time in our company’s journey.What You'll AchieveDeliver experiments end-to-end, from ideation to analysis, with velocity and quality to move core business metricsGet to know the Notion customer to understand key points in the customer journey and uncover insights that will drive activation and engagementPlan, shape, and build new features to create a more engaging and personalized early product experience for our customersWork at all levels of the stack from AWS + Node + SQL to React + HTML + CSSSkills You'll Need To BringShipping polished user interfaces: You can work with others to build and maintain quality user interfaces for a big audience. You have 2+ years of experience and are comfortable using Web technologies like HTML, CSS, JavaScript, and a modern UI framework like React. If you've experienced the technical challenges of rapid growth, that's a plus.Data and experimentation: You have Growth Engineering experience at another company. You are comfortable iteratively testing product flows using A/B testing to understand customer behavior and make data-informed decisions.Thoughtful problem-solving: For you, problem-solving starts with a clear and accurate understanding of the context. You can decompose tricky problems and work towards a clean solution, by yourself or with teammates. You're comfortable asking for help when you get stuck.Pragmatism and impact-orientation: You care about business impact and prioritize projects accordingly. You're not just going after cool stuff—you understand the balance between craft, speed, and the bottom line.Putting users first: You think critically about the implications of what you're building, and how it shapes real people's lives. You understand that reach comes with responsibility for our impact—good and bad.Empathetic communication: You communicate nuanced ideas clearly, whether you're explaining technical decisions in writing or brainstorming in real time. In disagreements, you engage thoughtfully with other perspectives and compromise when needed.Team player: For you, work isn't a solo endeavor. You enjoy collaborating cross-functionally to accomplish shared goals, and you care about learning, growing, and helping others to do the same.Nice To HavesA history of strong cross-functional collaboration with marketing, sales, and/or other non-technical teamsYou've heard of computing pioneers like Ada Lovelace, Douglas Engelbart, Alan Kay, and others—and understand why we're big fans of their work.We hire talented and passionate people from a variety of backgrounds because we want our global employee base to represent the wide diversity of our customers. If you’re excited about a role but your past experience doesn’t align perfectly with every bullet point listed in the job description, we still encourage you to apply. If you’re a builder at heart, share our company values, and enthusiastic about making software toolmaking ubiquitous, we want to hear from you.Notion is proud to be an equal opportunity employer. We do not discriminate in hiring or any employment decision based on race, color, religion, national origin, age, sex (including pregnancy, childbirth, or related medical conditions), marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or other applicable legally protected characteristic. Notion considers qualified applicants with criminal histories, consistent with applicable federal, state and local law. Notion is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation made due to a disability, please let your recruiter know.Notion is committed to providing highly competitive cash compensation, equity, and benefits. The compensation offered for this role will be based on multiple factors such as location, the role’s scope and complexity, and the candidate’s experience and expertise, and may vary from the range provided below. For roles based in San Francisco and New York City, the estimated base salary range for this role is $130,000 - $250,000 per year.                                                            ","501-1,000 employees",https://www.linkedin.com/jobs/view/software-engineer-growth-at-notion-3600360354?position=11&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=EdxzfPjNc8m9xS1IX%2FJQLg%3D%3D&trk=public_jobs_jserp-result_search-card
Front-End Engineer,Lever Middleware Test Company 2,"Lever builds software for teams to source, interview, and hire top talent. Our team strives to set a new bar for enterprise software with modern, well-designed, real-time apps. We participated in Y Combinator in summer 2012, and since then have raised $33 million. This year, we're doubling the team in size, and we're looking forward to supporting more great companies like Netflix, Eventbrite, and Lyft.Under the hood, we're a technology company with a powerful open-source web framework: DerbyJS. It is the first and only open-source MVC framework that syncs all data via an Operational Transformation backend, using the same algorithm that powers Google Docs. DerbyJS is also uniquely optimized to render everything on the server as well as the client.Assembling a top notch team is the #1 challenge forward-looking companies know they must solve. At Lever, we’re building next-generation collaboration software that helps companies to bring more transparency, participation, and engagement to their hiring. As a Software Engineer, you’ll help us build out our core product by developing high-impact, user-facing features.In our growing engineering organization, you’ll be a driver for positive change to Lever’s engineering culture, processes and technology. You will be a strong voice in product planning, drive the implementation and release of major features, and be a champion of best practices for writing well-tested, well-organized code.You’ll become familiar with all parts of our stack—including our open source web framework, DerbyJS. You will exercise judgment in making tradeoffs between design and feasibility. You’ll engineer your features to be scalable and resilient in a complex, single-page application.We believe that user-centric design ultimately leads to the best products, so we listen closely to our users, both external and internal. As an engineer on our close-knit, cross-functional team, you’ll be an active voice in shaping our product. Lever is constantly rolling out high-demand features and tackling ever greater challenges of scale.You’ll join a team where everyone—including you—is knowledgeable about development patterns and cares about the product development process. We are an incredibly supportive team–we love to pitch in when problems arise and give great peer feedback to help each other grow. We are passionate about lots of things – browser performance, code reviews, debugging, continuous integration, creating a great hiring experience, and pandas – and we love sharing those passions with each other.Our TechnologyLever is built on our own modern web framework based on NodeJS called DerbyJS.ShareDB–an open-source implementation of operational transform–enables us to sync data real-time. Learn more about the power of OT from our CTO Nate's conference talk about Operational Transform!For our data layer and search, we use MongoDB, Redis, and Elasticsearch.For deployment, we use the combined forces of npm, AWS, Jenkins, and Docker.Within 3 months, you’ll…Build, launch, and support your first big featureMaster DerbyJS development patternsParticipate in support engineering and on-call rotations to help diagnose and resolve production problems and customer issues.Write internal documentation for your features and systemsLever builds software for teams to source, interview, and hire top talent. Our team strives to set a new bar for enterprise software with modern, well-designed, real-time apps. We participated in Y Combinator in summer 2012, and since then have raised $33 million. This year, we're doubling the team in size, and we're looking forward to supporting more great companies like Netflix, Eventbrite, and Shopify.Under the hood, we're a technology company with a powerful open-source web framework: DerbyJS. It is the first and only open-source MVC framework that syncs all data via an Operational Transformation backend, using the same algorithm that powers Google Docs. DerbyJS is also uniquely optimized to render everything on the server as well as the client.Lever is proud to be an equal opportunity workplace dedicated to pursuing and hiring a diverse workforce.A look into life at Lever!Lever is proud to be an equal opportunity workplace dedicated to pursuing and hiring a diverse workforce.                                                                    ",Public Company,https://www.linkedin.com/jobs/view/front-end-engineer-at-lever-middleware-test-company-2-3787334877?position=12&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=3e89258aptjlE8qgtmDU5w%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer,Lever Middleware Test Company 2,"Lever builds modern recruiting software for teams to source, interview, and hire top talent. Our team strives to set a new bar for enterprise software with modern, well-designed, real-time apps. We participated in Y Combinator in summer 2012, and since then have raised $73 million. As the applicant tracking system of choice for Netflix, Eventbrite, ClearSlide, change.org, and thousands more leading companies, Lever means you hire the best by hiring together.Lever is an equal opportunity employer. We are committed to providing reasonable accommodations and will work with you to meet your needs. If you are a person with a disability and require assistance during the application process, please don’t hesitate to reach out! We celebrate our inclusive work environment and welcome members of all backgrounds and perspectives. Learn more about our team culture and commitment to diversity and inclusion.                                                                    ",Public Company,https://www.linkedin.com/jobs/view/software-engineer-at-lever-middleware-test-company-2-3787338231?position=13&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=LWGdoBJSvNMDUU%2Fo9ImSZw%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer,Lever Middleware Test Company 2,"Work at Derby ConsultingLever builds software for teams to source, interview, and hire top talent. Our team strives to set a new bar for enterprise software with modern, well-designed, real-time apps.As a Software Engineer, you’ll help us build out our core product by developing high-impact, user-facing features. In our engineering organization, you’ll be a driver for positive change in our engineering culture, processes and technology. You will be a strong voice in product planning, drive the implementation and release of major features, and be a champion of best practices for writing well-tested, well-organized code.You’ll become familiar with all parts of our stack. You will exercise judgment in making tradeoffs between design and feasibility. You’ll engineer your features to be scalable and resilient in a complex, single-page application. We believe that user-centric design ultimately leads to the best products, so we listen closely to our users, both external and internal. As an engineer on our close-knit, cross-functional team, you’ll be an active voice in shaping our product. We are constantly rolling out high-demand features and tackling ever greater challenges of scale. You’ll join a team where everyone—including you—is knowledgeable about development patterns and cares about the product development process.The Derby StoryWe participated in Y Combinator in summer 2012, and since then have raised $40 million. This year, we’re doubling the team in size, and we’re looking forward to supporting more great companies like Netflix, Eventbrite, and Lyft. Interested in learning more? Take an inside look at Lever!Derby Consulting is proud to be an equal opportunity workplace dedicated to pursuing and hiring a diverse workforce.                                                                    ",Public Company,https://www.linkedin.com/jobs/view/software-engineer-at-lever-middleware-test-company-2-3787337439?position=14&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=aYGPW%2BzitVmESittXGxoNw%3D%3D&trk=public_jobs_jserp-result_search-card
General Applications - Software Engineer (all levels),Clever Inc.,"Founded by educators and technologists passionate about improving education, Clever is on a mission to unlock new ways to learn for all students. Already used by more than 75% of U.S. K-12 schools, Clever brings all applications into one secure portal and provides single sign-on for everyone. With the leading network of digital learning providers, Clever makes school more engaging, personalized, and fun.Don't see an engineering position that fits your expertise? Send us your resume by applying to this posting so that we can add you to our talent pool! Please note that this job posting is for potential future opportunities and is not an active position at this time.**We're always looking for talented engineers who want to help us build Clever into something every school, student, and teacher relies on.A DAY IN THE LIFE:Collaborate with Product Management, Design and Marketing to research, design, and code major new features and enhancements that will best engage, educate, and delight educators.Develop new features like fast and intuitive UIs, Go Microservices, and application rest APIs to give districts control over the data they share with each application.Be an important part of Clever's ecosystem of engineering excellence as we strive to create both the best possible customer experiences and top quality internal architectures across all of our products and initiatives.Understand and prioritize the Clever engineering culture - see our blog post on Defining Clever's Engineering Culture.WHAT WE'RE LOOKING FOR:1+ years of experience as a full-stack Software EngineerLed small to large projects and collaborated with a team to create meaningful impactArchitected systems to solve a variety of product and data needsStrong fundamentals in computer science and software engineeringThe drive to learn and teach through collaboration and code reviewsA desire to work in a diverse, highly collaborative team environmentCommitment to equity and belonging. At Clever, we believe the classrooms we serve and our company's halls should be spaces that are diverse, equitable, and inclusive. That is why we are committed to building diverse teams, inviting every voice, and creating a safe space for everyone to be their authentic self. By fostering equity and belonging within our circles of influence, we unlock learning for ALL studentsSALARY TRANSPARENCY:For Colorado* and California (except San Francisco) based candidates - the range of our base salary cash compensation for this role for candidates living in Colorado and California (except San Francisco) is between $122,000- $165,000, final offers are determined using multiple factors including experience and level of expertise.For NYC* and San Francisco based candidates - the range of our base salary cash compensation for this role for candidates living in NYC and San Francisco is between $135,000- $183,000, final offers are determined using multiple factors including experience and level of expertise.We offer a full robust benefits package and stock options. Because Clever's base compensation is driven by location, our recruiters will be happy to discuss a salary range for other locations during the interview process.Note: Disclosure as required by sb19-085Clever does not conduct interviews via text or Telegram. We will never ask for your financial information or reimbursement of equipment of any kind. If you receive any communications regarding employment with Clever that you think might be a scam, please email security@clever.com.                                                            ",51-200 employees,https://www.linkedin.com/jobs/view/general-applications-software-engineer-all-levels-at-clever-inc-3908003787?position=15&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=VyyLxE%2FsCiY3GKWvDMiXYQ%3D%3D&trk=public_jobs_jserp-result_search-card
"Software Engineer, New Grad",IXL Learning,"IXL Learning, developer of personalized learning products used by millions of people globally, is seeking new graduates who have a passion for technology and education. You will dive into our code base and immediately contribute to our three extremely impactful educational products and build new, innovative products. You can fine-tune your existing skills and learn new ones as you work on one of our many teams. You’ll be able to work with our Core Technology team in back-end engineering, Front-end group using cutting-edge technologies like React, Mobile team in implementing iOS and Android apps, or our Full-stack teams who seek engineers interested in doing it all.We find it immensely satisfying to develop products that impact the lives of millions, and we are eager to have you join our team.H1B sponsorship is available for this position.What You'll Be DoingAs a Software Engineer, you will build the back-end wiring, application logic, and UI that engage our users. You will find and use the best technologies to add features and create new products. You’ll be involved in all aspects of the development process – including design, coding, testing, debugging, and tuning. You will own your projects from start to end as they travel through our fast-paced development cycle. In addition to working with your fellow engineers, you’ll collaborate with other teams to design amazing products that meet the needs of our users, who are students and teachers all over the world.TECHNOLOGYOur server-side stack currently includes Linux, Apache, Java, Scala, Python, and Oracle. For our iOS app development, we use Swift. Our front-end code is written in JavaScript (including the React and D3 libraries, and ES6). Of course, the specific technologies and languages you use will vary by project and according to your own interests or specialization areas.What We're Looking ForBachelor's or advanced degree in computer science or a related disciplineExcellent programming skillsStrong analytical-reasoning and problem-solving skillsAbility to work both independently and with a wide variety of teamsKnowledge of Unix, Python, Java, SQL, or JavaScript is a plusPassion for improving education through technologyOur salary ranges are determined by role, level, and location. The base salary range for this full-time position is $110,000 to $135,000 + equity + benefits. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position. Individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.About IXL LearningIXL Learning is the country's largest EdTech company. We reach millions of learners through our diverse range of products. For example:1 in 4 students in the United States uses IXL.comRosetta Stone provides an immersive learning experience for 25 languagesWyzant is the nation's largest community of tutors, covering 300+ subjectsTeachers Pay Teachers (TPT) is a comprehensive marketplace for millions of educator-created resourcesOur mission is to create innovative products that will make a real, positive difference for learners and educators and we're looking for passionate, mission-minded people to join us in achieving this goal. We have a unique culture at IXL that fosters collaboration and the open exchange of ideas. We value our team and treat one another with kindness and respect. We approach our work with passion, tenacity, and authenticity. We find it immensely satisfying to develop products that impact the lives of millions and we are eager to have you join our team.At IXL, we value diversity in age, race, ethnicity, gender, sexual orientation, physical and mental ability, political and religious beliefs, and life experience, and we are proud to promote a work environment where everyone, from any background, can do their best work. IXL Learning is an Equal Opportunity Employer.                                                            ","501-1,000 employees",https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-ixl-learning-3865680856?position=16&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=ksBgk6rGrSLsASdm4J%2FInA%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer,Check,"Check is leading a revolution in the payroll industry. Payroll is the backbone of the US economy, and yet it has not undergone significant innovation in decades. We invented the embedded payroll space to change that (see: Check: Solving the $150 Billion Payroll Problem, Bank On It; Episode 438), both for the business owners who spend countless hours per week running payroll and for the millions of Americans who depend on their next paycheck. At Check, our mission is to empower the most innovative software platforms to create new payroll businesses, and enable those businesses to transform the way companies pay their employees.Check's culture is intensely caring: to each other as teammates, to our partners, and to the businesses and workers we serve. Our teams are made up of creative problem solvers and empathetic cross-functional collaborators who can simplify the complexities of payroll. We bring hustle and grit to our day-to-day, while building enduring solutions and relationships.Check is hiring a full stack engineer to expand our embedded payroll platform: the intuitive APIs, delightful UIs, and product-backed services that simplify creating, growing, and running a payroll business for our partners. This is the perfect role for an engineer who wants to have an outsized business impact. Our technical stack includes Python, Django, React, TypeScript, Postgres, and AWS.In this role, you will:Scope, develop, and lead large technical projects with significant business impactBuild tools that support and automate complex payroll workflows for our partners and internal teamsInfluence the culture, values, and processes of a growing engineering teamUse data-driven analysis to identify opportunities to achieve our business goalsProvide input on product and strategic decision-makingYou may be a fit for this role if you:Have a strong product/user orientationFocus on iterative value deliveryHave led projects that simplify complex concepts through softwareEnjoy navigating ambiguity and making decisions independentlyHave interest in designing both frontend UIs and backend APIsLove working with cross-functional stakeholdersWe use:Python (type-annotated) and Django for our APIReact and TypeScript for our frontendsPostgres for our databaseAWS for our cloud infrastructureGitLab for issue tracking and CI/CDWhat we offer: At Check, transparency and fairness in compensation are our top priorities. Operating on a flat titling system, our engineering team ensures equity and opportunity for all team members. We believe in empowering engineers, irrespective of their job level, to lead projects they're passionate about and collaborate as equals with their fellow Checketeers. Candidates are assessed based on their unique experience and qualifications, with the expected annual salary/hourly rate varying by job level and location:The expected range in San Francisco, NYC, LA, and Seattle is between $168,900 and $240,500. The expected range For all other locations is between $143,550 and $204,600.Full-time employees receive comprehensive benefits including medical, dental, vision, disability, life insurance, stock options, flexible PTO, parental leave, holidays, a 401k plan, and a $100 monthly stipend for home internet and mobile phone expenses.We accept applications on an ongoing basis with no specified deadline.Check is proud to be an Equal Opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Check is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at hello@checkhq.com with ""accommodations"" in the subject line.Check participates in E-Verify and will provide the federal government with Form I-9 information from all new employees to confirm that they are authorized to work in the U.S. Check does not use E-Verify to pre-screen applicants.                                                            ",51-200 employees,https://www.linkedin.com/jobs/view/software-engineer-at-check-3673087302?position=17&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=CEurMVIfMEUeS4FYYOnSvQ%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer (Front End),Edmunds,"Edmunds offers flexibility to work fully remote, from our Edquarters, or a combination of bothAt Edmunds we’re driven to make car buying easier. Ever since we began publishing printed car guides in the 60’s, the company has been in the business of trust, innovating ways to empower and support car shoppers. When Edmunds launched the car industry’s first Internet site in 1994, we established a leadership position online and have never looked back. Now, as one of the most trusted review sites on the Internet, millions of visitors use our research, shopping and buying tools every month to make an easy and informed decision on their next car. For consumers, we bring peace of mind. For dealers, we make tools to help them solve their problems and sell more cars. How do we do it, you ask? The key ingredients are our enthusiastic employees, progressive company culture and cutting-edge technology. Want to join the team? Read on to find out how!What You’re Applying ForAs a Full Stack Software Engineer, you'll play a pivotal role in crafting and implementing cutting-edge solutions aimed at enhancing the car shopping experience for users. Your responsibilities will include designing and developing intuitive, feature-rich applications that empower car shoppers throughout their research and purchasing journey. You'll collaborate closely with cross-functional teams to translate user needs into innovative software solutions, leveraging your expertise in front-end development to deliver seamless and impactful user experiences.What You’ll DoHelp customers complete more of the automotive transaction online by building deeper integrations with forward-looking dealers. Assure shoppers that they are getting a good deal by revamping the way we present pricing on our websiteStreamline the way customers reach out to dealers through our platform by optimizing the performance of those pagesResearch and evangelize modern Javascript best practices and client-side application designCoordinate the development of front-end features from technical design to production deploymentCollaborate with product managers, designers, and other software engineersWhat You NeedDemonstrated ability to see projects to completion both independently and working in close collaboration with others in a team environment.Experience in building, unit testing, documenting, and refactoring client-side applicationsFamiliarity with testing strategies, cross-browser compatibility, and clientside performance optimisationExperience with React and isomorphic Javascript to design and develop immersive user experiences. Node.js experience is a plusExperience Implementing responsive designs with CSS and ensure optimal page performance as defined by internal and industry-standard metrics including Google Core Web VitalsAbility to collaborate closely with cross-functional teams, you'll leverage your proficiency in both front-end and back-end development to create seamless solutions that empower car shoppers throughout their research and purchasing journeyExperience working with Backend services in leveraging in-house/3rd Party APIs using REST and/or GraphQLExperience with a cloud platform such as AWS, GCP, or Azure is a plus (AWS is preferred)Experience building email templates with Marketo a plusWhy would you want this job?You love building intuitive and elegant user interfacesYou want to make a real impact on the way people buy carsYou appreciate working with talented individuals in a variety of roles including software engineering, product management, and design The compensation range for this position is $109,900 - $191,800 per year. The base pay will take into account internal equity as well as job-related knowledge, skills, and experience among other factors. In addition, Edmunds offers full-time employees a comprehensive total rewards package including the benefits listed below.Edmunds PerksFlexible time off13 Paid HolidaysComprehensive Health Benefits (medical, dental, vision, life and disability)Flexible Spending Accounts (Employees) and Health Savings Accounts (Employee and Employer Contributions)401K Plan with company matching at 100%, up to 6% of eligible salary with immediate vestingStock purchase programCarMax vehicle discountUp to 4 months Paid Parental LeaveHeartCash matches employee donations to the causes that are important to them2 Days of Paid Time Off for time to dedicate to social impact causesFitCash covers a portion of gym or fitness activity feesWell being sessions and events such as yoga, meditation and walking challengesOn-going career development sessions and an annual learning eventPet insuranceSabbatical leaveEducation ReimbursementPre-tax spending accounts for qualified transportation expensesPlus a coffee bar, frozen yogurt and more!Working @ Edmunds.com:Employees think it’s a pretty great place to work and some pretty impressive publications think it is too: we have been recognized as one of the best places to work by the Fortune Magazine and Great Places to Work, LA Business Journal (for the last 6 years!), Computerworld, Built in LA and Inc. Magazine. We've also been identified as one of the best workplaces specifically in Technology and also for Diversity and Asian Americans. If you’re interested in learning more and joining our mission, we’d love to hear from you!Edmunds will consider for employment qualified candidates with criminal histories in a manner consistent with the requirements of all applicable laws.#BI-Remote                                                            ","501-1,000 employees",https://www.linkedin.com/jobs/view/software-engineer-front-end-at-edmunds-3943577709?position=18&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=7r2eBZVnyZp9nN5Ocs3inA%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer,Lever Middleware Test Company 2,"Disproportionately impact a product-driven startup that is transforming the way companies grow their teams. We’re building next-generation collaboration software that helps companies to bring more transparency, participation, and engagement to their hiring.Jump into an empowered role doing end-to-end feature development. You’ll be familiar with all parts of our stack—most notably our homegrown, open source web framework, DerbyJS. Not only will you learn how to develop on a modern, real-time framework, you’ll be building enterprise-grade software on top of it. To do so, you’ll exercise judgment in making tradeoffs between design and feasibility. Choose when to hack and when to invest. You’ll engineer your features to be scalable and resilient in a large, single-page app.Lever is an incredibly design-driven company and you’ll be an active voice in shaping our product and user experience, down to the last detail when shipping your features. Our close-knit, cross-functional team is a great chance to grow your knowledge of different domains. Level-up your knowledge of design theory and UX by working closely with our Design and Customer Success teams. Share your knowledge with them so that they’re more empowered to hook up their front-end code to support users with more internal tools.You’ll join a team where everyone—including you—is knowledgeable about development patterns and opinionated about product development process. We pitch in to help when things are crazy. We build tools and scripts to ease the lives of our fellow developers. And we’re passionate about lots of random things, and share those passions with each other.Core TechnologiesJavaScript, Node.js, MongoDB, Redis, Solr, Elasticsearch, DerbyJS, ShareJS, IMAP, SMTP, Gmail and Google Calendar, Microsoft Exchange, AWSWITHIN 3 MONTHS, YOU’LL…Build, launch, and support your first big featureMaster Derby’s development patternsParticipate in on-call rotation, diagnose, and resolve production issuesParticipate in support engineering rotation, understand and resolve customer issuesWrite internal documentation for your features and systemsWITHIN 6 MONTHS, YOU’LL...Own major feature areas of the applicationTouch most of our stack/infrastructureBe able to own the entire planning, scoping, design, and implementation of new featuresContend for our bug hunt hackathon crownParticipate in team-wide project estimation and scopingWITHIN 12 MONTHS, YOU’LL…Build within reliable estimatesTrain and mentor your peersLever builds software for teams to find, interview, and hire top talent. Our team strives to set a new bar for enterprise software with modern, well-designed, realtime apps. After going through Y-Combinator (Summer 2012) and raising a seed round in 2012, we have the support of many fantastic advisors and investors and are gearing up for an incredible, fast-paced year.Lever is proud to be an equal opportunity workplace dedicated to pursuing and hiring a diverse workforce.A look into life at Lever: https://inside.lever.co/                                                                    ",Public Company,https://www.linkedin.com/jobs/view/software-engineer-at-lever-middleware-test-company-2-3787341033?position=19&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=8J98Ina9CAIeVcqr8RLq1w%3D%3D&trk=public_jobs_jserp-result_search-card
Full-Stack Engineer,Boson AI,"We are looking for a Full Stack engineer to help us build intelligent systems that are interactive and entertaining. Help us build the next generation of applications that provide rich storytelling and dialogue. You should be familiar with the latest JavaScript tooling. Boson AI is a startup building large multimodal models. We are located in Santa Clara in the Bay Area and in Toronto, Ontario.ResponsibilitiesLead the full lifecycle of the LLM chatting platform development, including both back-end and front-end implementations using Next.js, React.js, HTML5, and Tailwind CSS.Design user interfaces and craft user experiences that are both intuitive and engaging, aligning with project requirements and user feedback.Optimize applications for maximum speed and scalability while ensuring all aspects of the platform are responsive and adaptive across devices.Implement real-time interactivity on the platform with cloud NoSQL technology like Convex, Supabase, or Firebase.Employ Convex/Supabase for state management and ensure seamless real-time updates that enhance interactivity on the platform.Implement third-party authentication and security features.Utilize Vercel for deployment, monitoring, and maintenance to ensure high availability and performance.Write clean, efficient, and well-documented code, adhering to best practices and project specificationsExperienceExperience in full stack web development, with substantial work on both client-side and server-side components.Proficient understanding of HTML5 and Javascript.Proficiency in Next.js and React.js for front-end development, with a solid track record of building complex web applications.Experience in UI/UX design, capable of creating functional and appealing user interfaces without external design support.Practical experience with Tailwind CSS, focusing on responsive and adaptive design principles.Demonstrated ability in deploying and managing applications with Vercel.Skilled in using state management tools like Convex, Supabase, or Firebase.Familiarity with agile development methodologies and a strong understanding of CI/CD processesQualificationsBachelor’s degree in Computer Science or a related field. A Master’s degree is highly desirable.Strong contribution record on GitHub is highly desirable.Public Portfolio of work is highly desirableDeep understanding of JavaScript and TypeScript, as well as familiarity with modern development frameworks and libraries.Proficient in designing intuitive and visually appealing user interfaces, with a good eye for aesthetics and user experience trends.Exceptional problem-solving skills, capable of both independent and collaborative troubleshooting and innovation.Excellent communication skills, able to effectively convey technical details and project progress to team members and non-technical stakeholders.Strong organizational skills with the ability to manage multiple priorities in a dynamic, fast-paced environmentJoin our team to build the next generation of AI models that delight and entertain.Boson AI offers 401k with employer matching, Gold level healthcare, HSA, FSA, free lunch, snacks and an inclusive workplace.                                                                    ",11-50 employees,https://www.linkedin.com/jobs/view/full-stack-engineer-at-boson-ai-3939286669?position=20&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=bL6aeU31k8%2BK28H4NY0MXw%3D%3D&trk=public_jobs_jserp-result_search-card
